flag_URL,host_country,event,year,artist_country,artist,song,rank,total_points
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Stockholm ,2016,Australia,Dami Im,Sound Of Silence,2,511
https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,Portugal,Lisbon ,2018,Austria,Cesár Sampson,Nobody But You,3,342
https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,Denmark,Copenhagen ,2014,Austria,Conchita Wurst,Rise Like a Phoenix,1,290
https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,Luxembourg,Luxembourg ,1966,Austria,Udo Jürgens,Merci Chérie,1,31
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Malmö ,2013,Azerbaijan,Farid Mammadov,Hold Me,2,234
https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Germany,Düsseldorf ,2011,Azerbaijan,Ell/Nikki,Running Scared,1,221
https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,Russia,Moscow ,2009,Azerbaijan,AySel & Arash,Always,3,207
https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,Latvia,Riga ,2003,Belgium,Urban Trad,Sanomi,2,165
https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,Norway,Bergen ,1986,Belgium,Sandra Kim,J'aime La Vie,1,176
https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,France,Paris ,1978,Belgium,Jean Vallée,L'amour ça Fait Chanter La Vie,2,125
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,2,NA
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,Belgium,Fud Leclerc,Messieurs Les Noyés De La Seine,2,NA
https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,Greece,Athens ,2006,Bosnia & Herzegovina,Hari Mata Hari,Lejla,3,229
https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,Ukraine,Kyiv ,2017,Bulgaria,Kristian Kostov,Beautiful Mess,2,615
https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,Portugal,Lisbon ,2018,Cyprus,Eleni Foureira,Fuego,2,436
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Malmö ,2013,Denmark,Emmelie de Forest,Only Teardrops,1,281
https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,Denmark,Copenhagen ,2001,Denmark,Rollo & King,Never Ever Let You Go,2,177
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Stockholm ,2000,Denmark,Olsen brothers,Fly On The Wings Of Love,1,195
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lausanne ,1989,Denmark,Birthe Kjær,Vi Maler Byen Rød,3,111
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1988,Denmark,Hot Eyes,Ka' Du Se Hva' Jeg Sa',3,92
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,London ,1963,Denmark,Grethe and Jørgen Ingmann,Dansevise,1,42
https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Germany,Frankfurt ,1957,Denmark,Birthe Wilke and Gustav Winckler,Skibet Skal Sejle I Nat,3,10
https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,Estonia,Tallinn ,2002,Estonia,Sahléne,Runaway,3,111
https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,Denmark,Copenhagen ,2001,Estonia,"Tanel Padar, Dave Benton & 2XL",Everybody,1,198
https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,Greece,Athens ,2006,Finland,Lordi,Hard Rock Hallelujah,1,292
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,Rotterdam ,2021,France,Barbara Pravi,Voilà,2,499
https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Italy,Rome ,1991,France,Amina,C'est Le Dernier Qui A Parlé Qui A Raison,2,146
NA,Yugoslavia,Zagreb ,1990,France,Joelle Ursull,White And Black Blues,2,132
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1981,France,Jean Gabilou,Humanahum,3,125
https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,Israel,Jerusalem ,1979,France,Anne-Marie David,Je Suis L'enfant-soleil,3,106
https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,France,Paris ,1978,France,Joël Prévost,Il Y Aura Toujours Des Violons,3,119
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,London ,1977,France,Marie Myriam,L'oiseau Et L'enfant,1,136
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,The Hague ,1976,France,Catherine Ferry,"Un, Deux, Trois",2,147
https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,Spain,Madrid ,1969,France,Frida Boccara,"Un Jour, Un Enfant",1,18
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,London ,1968,France,Isabelle Aubret,La Source,3,20
https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,Austria,Vienna ,1967,France,Noëlle Cordier,Il Doit Faire Beau Là-bas,3,20
https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Italy,Naples ,1965,France,Guy Mardel,N'avoue Jamais,3,22
https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,Luxembourg,Luxembourg ,1962,France,Isabelle Aubret,Un Premier Amour,1,26
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,London ,1960,France,Jacqueline Boyer,Tom Pillibi,1,32
https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,France,Cannes ,1959,France,Jean Philippe,"Oui, Oui, Oui, Oui",3,15
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,Hilversum ,1958,France,André Claveau,Dors Mon Amour,1,27
https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Germany,Frankfurt ,1957,France,Paule Desjardins,La Belle Amour,2,17
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,France,Dany Dauberson,Il Est Là,2,NA
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,France,Mathé Altéry,Le Temps Perdu,2,NA
https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,Norway,Oslo ,2010,Germany,Lena,Satellite,1,246
https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,Israel,Jerusalem ,1999,Germany,Sürpriz,Reise Nach Jerusalem - Kudüs'e Seyahat,3,140
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1994,Germany,MeKaDo,Wir Geben 'ne Party,3,128
https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,Belgium,Brussels ,1987,Germany,Wind,Laß Die Sonne In Dein Herz,2,141
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Gothenburg ,1985,Germany,Wind,Für Alle,2,105
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,Harrogate ,1982,Germany,Nicole,Ein Bißchen Frieden,1,161
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1981,Germany,Lena Valaitis,Johnny Blue,2,132
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,The Hague ,1980,Germany,Katja Ebstein,Theater,2,128
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,Edinburgh ,1972,Germany,Mary Roos,Nur Die Liebe Läßt Uns Leben,3,107
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1971,Germany,Katja Ebstein,Diese Welt,3,100
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,Amsterdam ,1970,Germany,Katja Ebstein,Wunder Gibt Es Immer Wieder,3,12
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,Germany,Freddy Quinn,So Geht Das Jede Nacht,2,NA
